school_name,city_name,state_name,cost,grad_rate,salary,website
Sullivan College of Technology and Design,Louisville,KY,"$23,007",40%,"$34,600",http://www.sctd.edu
Kentucky Christian University,Grayson,KY,"$20,257",36%,"$34,600",http://www.kcu.edu
Midway University,Midway,KY,"$20,903",62%,"$34,500",http://www.midway.edu
Tulane University of Louisiana,New Orleans,LA,"$32,946",83%,"$61,700",http://tulane.edu
ITI Technical College,Baton Rouge,LA,"$19,543",59%,"$51,300",http://www.iticollege.edu
Louisiana State University and Agricultural & Mechanical College,Baton Rouge,LA,"$13,624",68%,"$50,100",http://www.lsu.edu
Xavier University of Louisiana,New Orleans,LA,"$18,347",41%,"$49,800",http://www.xula.edu
Franciscan Missionaries of Our Lady University,Baton Rouge,LA,"$18,876",40%,"$47,200",http://www.ololcollege.edu
Loyola University New Orleans,New Orleans,LA,"$22,485",61%,"$47,100",http://www.loyno.edu
Centenary College of Louisiana,Shreveport,LA,"$22,932",51%,"$44,900",http://www.centenary.edu
Louisiana College,Pineville,LA,"$13,665",34%,"$42,800",http://www.lacollege.edu
Louisiana Tech University,Ruston,LA,"$9,561",52%,"$41,500",http://www.latech.edu
University of Louisiana at Lafayette,Lafayette,LA,"$10,617",45%,"$39,900",http://www.louisiana.edu
University of Holy Cross,New Orleans,LA,"$14,117",33%,"$39,500",http://uhcno.edu
McNeese State University,Lake Charles,LA,"$10,722",42%,"$38,200",http://www.mcneese.edu
Herzing University-Kenner,Kenner,LA,"$22,009",34%,"$37,800",http://www.herzing.edu
University of New Orleans,New Orleans,LA,"$10,191",36%,"$37,800",http://www.uno.edu
University of Louisiana at Monroe,Monroe,LA,"$8,846",42%,"$37,500",http://www.ulm.edu
Nicholls State University,Thibodaux,LA,"$11,106",45%,"$37,500",http://www.nicholls.edu
Southeastern Louisiana University,Hammond,LA,"$11,222",39%,"$37,200",http://www.southeastern.edu
Louisiana State University-Shreveport,Shreveport,LA,"$9,158",36%,"$35,700",http://www.lsus.edu/
Dillard University,New Orleans,LA,"$18,481",39%,"$35,400",http://www.dillard.edu
Southern University and A & M College,Baton Rouge,LA,"$13,118",32%,"$34,700",http://www.subr.edu
Maine Maritime Academy,Castine,ME,"$21,440",60%,"$95,600",http://mainemaritime.edu
Bowdoin College,Brunswick,ME,"$20,695",94%,"$65,500",http://www.bowdoin.edu/
Bates College,Lewiston,ME,"$25,100",88%,"$59,200",http://www.bates.edu/
Colby College,Waterville,ME,"$25,848",91%,"$58,100",http://www.colby.edu
University of New England,Biddeford,ME,"$32,229",61%,"$46,300",https://www.une.edu/
Saint Joseph's College of Maine,Standish,ME,"$24,992",56%,"$43,400",http://www.sjcme.edu
University of Maine,Orono,ME,"$15,895",57%,"$42,500",http://www.umaine.edu/
University of Southern Maine,Portland,ME,"$14,994",34%,"$38,700",http://www.usm.maine.edu
Thomas College,Waterville,ME,"$20,557",45%,"$38,100",http://www.thomas.edu
University of Maine at Farmington,Farmington,ME,"$14,523",57%,"$36,000",http://www.umf.maine.edu
Unity College,Unity,ME,"$24,848",56%,"$34,100",https://www.unity.edu
Southern Maine Community College,South Portland,ME,"$11,405",17%,"$33,900",http://www.smccME.edu
Kaplan University-Maine Campus,S Portland,ME,"$17,098",28%,"$33,900",https://www.kaplanuniversity.edu
University of Maine at Fort Kent,Fort Kent,ME,"$13,612",37%,"$33,400",http://www.umfk.maine.edu
University of Maine at Presque Isle,Presque Isle,ME,"$10,172",42%,"$32,400",http://www.umpi.edu/
Eastern Maine Community College,Bangor,ME,"$9,419",27%,"$32,400",http://www.emcc.edu
Central Maine Community College,Auburn,ME,"$8,929",27%,"$32,100",http://www.cmcc.edu
Northern Maine Community College,Presque Isle,ME,"$10,423",35%,"$30,300",http://www.nmcc.edu
Kennebec Valley Community College,Fairfield,ME,"$7,320",31%,"$29,000",http://www.kvcc.me.edu
Washington County Community College,Calais,ME,"$4,268",39%,"$27,900",http://www.wccc.me.edu
Johns Hopkins University,Baltimore,MD,"$31,954",93%,"$73,200",http://www.jhu.edu
Loyola University Maryland,Baltimore,MD,"$32,920",82%,"$68,100",http://www.loyola.edu
Capitol Technology University,Laurel,MD,"$20,174",42%,"$63,900",http://www.captechu.edu
University of Maryland-College Park,College Park,MD,"$16,928",86%,"$62,900",http://www.umd.edu
University of Baltimore,Baltimore,MD,"$16,300",34%,"$58,000",http://www.ubalt.edu
University of Maryland-Baltimore County,Baltimore,MD,"$19,937",64%,"$55,000",http://umbc.edu
Mount St. Mary's University,Emmitsburg,MD,"$29,855",70%,"$52,600",http://www.msmary.edu
St Mary's College of Maryland,St. Mary's City,MD,"$19,715",76%,"$52,200",http://www.smcm.edu
Notre Dame of Maryland University,Baltimore,MD,"$19,003",52%,"$51,800",http://www.ndm.edu
Washington College,Chestertown,MD,"$31,101",74%,"$51,400",http://www.washcoll.edu
University of Maryland-University College,Adelphi,MD,"$12,149",9%,"$51,200",http://www.umuc.edu
Towson University,Towson,MD,"$17,628",70%,"$50,800",http://www.towson.edu
Salisbury University,Salisbury,MD,"$18,887",68%,"$50,500",http://www.salisbury.edu
McDaniel College,Westminster,MD,"$21,342",69%,"$49,700",http://www.mcdaniel.edu
Stevenson University,Stevenson,MD,"$27,470",53%,"$49,600",http://www.stevenson.edu
Goucher College,Baltimore,MD,"$28,106",65%,"$48,900",http://www.goucher.edu
Strayer University-Maryland,Suitland,MD,"$26,210",17%,"$45,900",http://www.strayer.edu/maryland/prince-georges
Bowie State University,Bowie,MD,"$14,826",39%,"$45,800",http://www.bowiestate.edu
Hood College,Frederick,MD,"$23,279",64%,"$45,300",http://www.hood.edu
Frostburg State University,Frostburg,MD,"$18,052",49%,"$44,600",http://www.frostburg.edu
MCPHS University,Boston,MA,"$36,473",75%,"$116,000",http://www.mcphs.edu
Massachusetts Institute of Technology,Cambridge,MA,"$22,549",92%,"$104,700",http://web.mit.edu/
Babson College,Wellesley,MA,"$34,019",90%,"$96,100",http://www.babson.edu
Harvard University,Cambridge,MA,"$14,981",97%,"$89,700",http://www.harvard.edu
Bentley University,Waltham,MA,"$34,207",89%,"$86,900",http://www.bentley.edu
Massachusetts Maritime Academy,Buzzards Bay,MA,"$16,960",74%,"$86,600",http://www.maritime.edu
Worcester Polytechnic Institute,Worcester,MA,"$38,137",86%,"$84,900",https://www.wpi.edu/
Tufts University,Medford,MA,"$31,298",93%,"$75,800",http://www.tufts.edu
Boston College,Chestnut Hill,MA,"$34,356",92%,"$72,500",http://www.bc.edu
College of the Holy Cross,Worcester,MA,"$33,158",92%,"$71,000",http://www.holycross.edu
Northeastern University,Boston,MA,"$28,565",85%,"$67,400",http://www.northeastern.edu
Boston University,Boston,MA,"$34,914",86%,"$65,300",http://www.bu.edu
Wentworth Institute of Technology,Boston,MA,"$41,855",66%,"$65,100",https://WIT.EDU
Amherst College,Amherst,MA,"$22,036",94%,"$65,000",http://www.amherst.edu
Wellesley College,Wellesley,MA,"$21,506",92%,"$60,800",http://www.wellesley.edu
Stonehill College,Easton,MA,"$30,035",83%,"$60,800",http://www.stonehill.edu
Williams College,Williamstown,MA,"$21,102",95%,"$59,000",https://www.williams.edu
Brandeis University,Waltham,MA,"$31,078",88%,"$57,900",http://www.brandeis.edu/
Merrimack College,North Andover,MA,"$32,742",72%,"$57,100",http://www.merrimack.edu
Simmons College,Boston,MA,"$27,575",74%,"$55,800",http://www.simmons.edu
Kettering University,Flint,MI,"$35,447",53%,"$80,500",http://www.kettering.edu/
Michigan Technological University,Houghton,MI,"$14,638",66%,"$66,400",http://www.mtu.edu
University of Michigan-Ann Arbor,Ann Arbor,MI,"$14,897",91%,"$63,400",http://www.umich.edu
Lawrence Technological University,Southfield,MI,"$28,184",55%,"$55,300",http://www.ltu.edu
Cleary University,Howell,MI,"$12,246",40%,"$53,600",http://www.cleary.edu
Michigan State University,East Lansing,MI,"$17,120",78%,"$53,600",https://www.msu.edu
Northwood University,Midland,MI,"$22,995",57%,"$48,900",http://www.northwood.edu
Kalamazoo College,Kalamazoo,MI,"$22,796",82%,"$48,700",http://www.kzoo.edu
University of Michigan-Dearborn,Dearborn,MI,"$12,200",53%,"$48,600",http://umdearborn.edu/
Albion College,Albion,MI,"$18,307",68%,"$47,400",http://www.albion.edu
University of Phoenix-Michigan,Southfield,MI,"$18,397",9%,"$47,100",http://www.phoenix.edu
University of Detroit Mercy,Detroit,MI,"$21,872",65%,"$47,100",http://www.udmercy.edu
Hope College,Holland,MI,"$25,938",78%,"$46,200",http://www.hope.edu
Andrews University,Berrien Springs,MI,"$20,484",58%,"$45,200",http://www.andrews.edu
Western Michigan University,Kalamazoo,MI,"$16,824",54%,"$45,000",https://wmich.edu/
Calvin College,Grand Rapids,MI,"$24,115",75%,"$44,800",http://www.calvin.edu
Ferris State University,Big Rapids,MI,"$13,136",42%,"$44,500",http://www.ferris.edu/
College for Creative Studies,Detroit,MI,"$33,976",54%,"$44,100",http://www.collegeforcreativestudies.edu
Oakland University,Rochester Hills,MI,"$12,415",45%,"$43,100",http://www.oakland.edu
Grand Valley State University,Allendale,MI,"$16,496",66%,"$42,800",http://www.gvsu.edu
Saint Johns University,Collegeville,MN,"$22,755",78%,"$60,600",http://www.csbsju.edu
University of St Thomas,Saint Paul,MN,"$29,713",76%,"$56,800",http://www.stthomas.edu
Carleton College,Northfield,MN,"$26,745",93%,"$54,200",http://www.carleton.edu
Dunwoody College of Technology,Minneapolis,MN,"$25,783",50%,"$52,800",http://www.dunwoody.edu
College of Saint Benedict,Saint Joseph,MN,"$24,143",85%,"$52,600",http://www.csbsju.edu
University of Minnesota-Rochester,Rochester,MN,"$17,238",55%,"$51,900",https://r.umn.edu
University of Minnesota-Twin Cities,Minneapolis,MN,"$16,993",78%,"$51,900",https://twin-cities.umn.edu
Gustavus Adolphus College,Saint Peter,MN,"$20,801",82%,"$51,700",http://WWW.GUSTAVUS.EDU
The College of Saint Scholastica,Duluth,MN,"$21,995",68%,"$51,400",http://www.css.edu
St Olaf College,Northfield,MN,"$24,042",88%,"$50,400",http://wp.stolaf.edu
Concordia University-Saint Paul,Saint Paul,MN,"$19,628",49%,"$49,200",http://www.csp.edu
Hamline University,Saint Paul,MN,"$21,332",61%,"$49,200",http://www.hamline.edu
St Catherine University,Saint Paul,MN,"$21,529",58%,"$49,200",https://www.stkate.edu
Metropolitan State University,Saint Paul,MN,"$15,350",34%,"$48,200",http://www.metrostate.edu
Saint Mary's University of Minnesota,Winona,MN,"$19,940",61%,"$47,800",http://www.smumn.edu
Macalester College,Saint Paul,MN,"$27,004",89%,"$47,600",http://www.macalester.edu
Bethel University,Saint Paul,MN,"$25,446",75%,"$47,300",https://www.bethel.edu
University of Minnesota-Duluth,Duluth,MN,"$16,850",60%,"$47,200",http://www.d.umn.edu/
Augsburg University,Minneapolis,MN,"$22,232",57%,"$46,800",http://www.augsburg.edu
Minnesota State University-Mankato,Mankato,MN,"$15,455",50%,"$44,900",http://www.mnsu.edu
Millsaps College,Jackson,MS,"$22,065",68%,"$48,100",http://www.millsaps.edu
University of Mississippi,University,MS,"$14,494",60%,"$42,700",http://www.olemiss.edu
Mississippi State University,Mississippi State,MS,"$15,656",60%,"$40,200",http://www.msstate.edu
Mississippi College,Clinton,MS,"$16,660",57%,"$38,300",http://www.mc.edu
Belhaven University,Jackson,MS,"$18,256",41%,"$37,300",http://www.belhaven.edu
University of Southern Mississippi,Hattiesburg,MS,"$12,570",47%,"$36,400",http://www.usm.edu
William Carey University,Hattiesburg,MS,"$17,348",50%,"$34,700",http://www.wmcarey.edu
Mississippi University for Women,Columbus,MS,"$10,224",47%,"$34,100",http://www.muw.edu
Delta State University,Cleveland,MS,"$12,717",34%,"$33,700",http://www.deltastate.edu
Blue Mountain College,Blue Mountain,MS,"$11,355",53%,"$31,400",http://www.bmc.edu
Alcorn State University,Alcorn State,MS,"$14,771",32%,"$31,100",http://www.alcorn.edu
Jackson State University,Jackson,MS,"$13,646",39%,"$30,000",http://www.jsums.edu
Northeast Mississippi Community College,Booneville,MS,"$9,900",31%,"$29,200",http://www.nemcc.edu
Northwest Mississippi Community College,Senatobia,MS,"$5,196",22%,"$28,800",http://www.northwestms.edu
East Central Community College,Decatur,MS,"$4,926",35%,"$28,700",http://www.eccc.edu
Holmes Community College,Goodman,MS,"$5,018",29%,"$28,300",http://www.holmescc.edu
Mississippi Gulf Coast Community College,Perkinston,MS,"$6,959",30%,"$27,900",https://www.mgccc.edu
Pearl River Community College,Poplarville,MS,"$1,410",29%,"$27,600",http://www.prcc.edu
Itawamba Community College,Fulton,MS,"$5,330",38%,"$27,500",http://www.iccms.edu
Tougaloo College,Tougaloo,MS,"$14,113",42%,"$27,500",http://www.tougaloo.edu
Missouri University of Science and Technology,Rolla,MO,"$14,303",65%,"$71,200",http://www.mst.edu/
Washington University in St Louis,Saint Louis,MO,"$29,957",93%,"$70,100",http://www.wustl.edu
Chamberlain University-Missouri,St. Louis,MO,"$24,522",29%,"$58,400",http://www.chamberlain.edu
Saint Louis University,Saint Louis,MO,"$29,157",73%,"$56,500",http://www.slu.edu
Rockhurst University,Kansas City,MO,"$23,826",71%,"$50,800",http://www.rockhurst.edu
Ranken Technical College,Saint Louis,MO,"$15,479",59%,"$48,400",http://www.ranken.edu
University of Missouri-Columbia,Columbia,MO,"$17,157",69%,"$48,300",http://missouri.edu/
Maryville University of Saint Louis,Saint Louis,MO,"$25,596",73%,"$47,200",http://www.maryville.edu
Park University,Parkville,MO,"$16,351",40%,"$45,900",http://www.park.edu
William Jewell College,Liberty,MO,"$22,542",63%,"$45,700",http://www.jewell.edu
University of Missouri-Kansas City,Kansas City,MO,"$15,764",49%,"$45,700",http://www.umkc.edu/
Truman State University,Kirksville,MO,"$12,362",72%,"$44,500",http://www.truman.edu
DeVry University-Missouri,Kansas City,MO,"$23,065",33%,"$44,100",https://www.devry.edu
Avila University,Kansas City,MO,"$20,765",49%,"$44,100",https://www.Avila.edu
University of Missouri-St Louis,Saint Louis,MO,"$11,006",47%,"$42,900",http://www.umsl.edu/
Westminster College,Fulton,MO,"$19,940",65%,"$42,700",http://WWW.WESTMINSTER-MO.EDU
Webster University,Saint Louis,MO,"$29,710",61%,"$42,300",http://www.webster.edu
Cox College,Springfield,MO,"$21,390",96%,"$42,100",http://www.coxcollege.edu
Lindenwood University,Saint Charles,MO,"$22,131",49%,"$41,300",http://www.lindenwood.edu
Fontbonne University,Saint Louis,MO,"$25,125",53%,"$40,800",https://www.fontbonne.edu
Carroll College,Helena,MT,"$24,702",65%,"$45,900",http://www.carroll.edu
Montana State University,Bozeman,MT,"$17,050",53%,"$43,200",http://www.montana.edu/
Highlands College of Montana Tech,Butte,MT,"$9,828",19%,"$41,700",http://www.mtech.edu/
Montana Tech of the University of Montana,Butte,MT,"$12,875",42%,"$41,700",http://www.mtech.edu
Rocky Mountain College,Billings,MT,"$19,014",46%,"$38,800",http://rocky.edu
Montana State University-Northern,Havre,MT,"$12,590",26%,"$37,100",http://www.msun.edu
Helena College University of Montana,Helena,MT,"$11,568",26%,"$36,900",http://www.helenacollege.edu
Miles Community College,Miles City,MT,"$7,670",41%,"$36,600",http://www.milescc.edu/
The University of Montana,Missoula,MT,"$13,978",45%,"$35,500",http://www.umt.edu
Montana State University-Billings,Billings,MT,"$13,827",25%,"$34,600",http://www.msubillings.edu
University of Providence,Great Falls,MT,"$20,479",35%,"$32,500",http://www.uprovidence.edu
Great Falls College Montana State University,Great Falls,MT,"$9,680",17%,"$31,100",http://www.gfcmsu.edu
The University of Montana-Western,Dillon,MT,"$9,963",42%,"$30,400",http://w.umwestern.edu/
Dawson Community College,Glendive,MT,"$9,281",40%,"$29,600",http://www.dawson.edu
Flathead Valley Community College,Kalispell,MT,"$10,061",26%,"$28,200",http://www.fvcc.edu
Salish Kootenai College,Pablo,MT,"$8,686",48%,"$25,400",http://www.skc.edu
Aaniiih Nakoda College,Harlem,MT,"$8,227",32%,"$20,300",http://www.ancollege.edu
Little Big Horn College,Crow Agency,MT,"$6,957",21%,"$18,900",http://www.lbhc.edu/
Chief Dull Knife College,Lame Deer,MT,"$6,098",24%,"$17,600",http://cdkc.edu
Fort Peck Community College,Poplar,MT,"$3,449",8%,"$16,500",http://www.fpcc.edu
Creighton University,Omaha,NE,"$28,254",79%,"$59,700",https://www.creighton.edu
Bellevue University,Bellevue,NE,"$10,623",34%,"$53,600",http://www.bellevue.edu
Bryan College of Health Sciences,Lincoln,NE,"$24,331",76%,"$51,300",http://www.bryanhealthcollege.edu/bcohs/
Clarkson College,Omaha,NE,"$20,825",55%,"$49,300",http://www.clarksoncollege.edu/
Nebraska Methodist College of Nursing & Allied Health,Omaha,NE,"$18,826",67%,"$48,700",http://www.methodistcollege.edu
University of Nebraska-Lincoln,Lincoln,NE,"$17,311",67%,"$46,400",http://www.unl.edu/
Nebraska College of Technical Agriculture,Curtis,NE,"$11,369",49%,"$46,400",http://ncta.unl.edu
Nebraska Wesleyan University,Lincoln,NE,"$22,719",66%,"$46,000",http://www.nebrwesleyan.edu
Hastings College,Hastings,NE,"$18,952",58%,"$44,400",http://www.hastings.edu
Doane University-Arts & Sciences,Crete,NE,"$22,724",60%,"$44,300",http://www.doane.edu
University of Nebraska at Omaha,Omaha,NE,"$12,899",46%,"$44,200",https://www.unomaha.edu
University of Nebraska at Kearney,Kearney,NE,"$15,768",56%,"$41,300",http://www.unk.edu
College of Saint Mary,Omaha,NE,"$19,584",44%,"$41,200",http://WWW.CSM.EDU
Union College,Lincoln,NE,"$20,535",49%,"$40,800",http://www.ucollege.edu
Concordia University-Nebraska,Seward,NE,"$19,450",63%,"$40,100",http://www.cune.edu
Midland University,Fremont,NE,"$23,518",45%,"$39,900",http://www.midlandu.edu
Chadron State College,Chadron,NE,"$13,267",43%,"$38,200",http://www.csc.edu
Peru State College,Peru,NE,"$12,681",36%,"$37,500",http://www.peru.edu
Southeast Community College Area,Lincoln,NE,"$9,116",29%,"$37,000",http://www.southeast.edu
Wayne State College,Wayne,NE,"$12,722",49%,"$36,100",https://www.wsc.edu/
University of Phoenix-Nevada,Las Vegas,NV,"$18,367",18%,"$47,100",http://www.phoenix.edu
University of Nevada-Reno,Reno,NV,"$14,164",56%,"$47,000",http://www.unr.edu/
University of Nevada-Las Vegas,Las Vegas,NV,"$10,726",41%,"$45,000",http://www.unlv.edu/
DeVry University-Nevada,Henderson,NV,"$31,081",19%,"$44,100",https://www.devry.edu
Sierra Nevada College,Incline Village,NV,"$26,861",38%,"$42,100",http://www.sierranevada.edu
Truckee Meadows Community College,Reno,NV,"$8,416",30%,"$33,900",http://www.tmcc.edu
College of Southern Nevada,Las Vegas,NV,"$7,028",7%,"$32,300",http://www.csn.edu
Northwest Career College,Las Vegas,NV,"$14,583",76%,"$31,800",http://northwestcareercollege.edu
Great Basin College,Elko,NV,"$9,021",22%,"$31,300",http://www.gbcnv.edu
Western Nevada College,Carson City,NV,"$9,733",20%,"$30,500",http://www.wnc.edu
The Art Institute of Las Vegas,Henderson,NV,"$20,191",22%,"$29,400",http://www.artinstitutes.edu/las-vegas
Pima Medical Institute-Las Vegas,Las Vegas,NV,"$19,809",59%,"$28,800",http://pmi.edu
Altierus Career College-Henderson,Henderson,NV,"$20,380",49%,"$27,900",https://www.altierus.org/campus/henderson
Carrington College-Reno,Reno,NV,"$31,944",84%,"$27,400",http://www.carrington.edu
Career College of Northern Nevada,Sparks,NV,"$19,340",61%,"$27,200",http://www.ccnn.edu
Brightwood College-Las Vegas,Las Vegas,NV,"$19,862",64%,"$26,700",http://www.brightwood.edu
Carrington College-Las Vegas,Las Vegas,NV,"$17,796",66%,"$25,400",http://www.carrington.edu
Dartmouth College,Hanover,NH,"$27,080",95%,"$75,500",http://www.dartmouth.edu
Saint Anselm College,Manchester,NH,"$31,998",72%,"$58,300",http://www.anselm.edu
University of New Hampshire-Main Campus,Durham,NH,"$24,879",78%,"$51,400",http://www.unh.edu
University of New Hampshire at Manchester,Manchester,NH,"$16,868",48%,"$51,400",http://manchester.unh.edu
Rivier University,Nashua,NH,"$25,001",51%,"$45,400",http://www.rivier.edu
Southern New Hampshire University,Manchester,NH,"$35,845",58%,"$45,400",http://www.snhu.edu
Colby-Sawyer College,New London,NH,"$25,851",55%,"$43,600",http://www.colby-sawyer.edu
Keene State College,Keene,NH,"$19,196",63%,"$42,400",http://www.keene.edu
Plymouth State University,Plymouth,NH,"$20,461",56%,"$41,700",http://www.plymouth.edu
Franklin Pierce University,Rindge,NH,"$26,795",43%,"$39,700",http://www.franklinpierce.edu
NHTI-Concord's Community College,Concord,NH,"$17,109",22%,"$38,200",http://www.nhti.edu
New England College,Henniker,NH,"$27,322",36%,"$37,900",http://www.nec.edu/
Manchester Community College,Manchester,NH,"$15,523",22%,"$36,800",http://www.mccnh.edu
Nashua Community College,Nashua,NH,"$13,501",24%,"$36,600",http://nashuacc.edu
Granite State College,Concord,NH,"$13,656",15%,"$35,400",http://www.granite.edu
White Mountains Community College,Berlin,NH,"$15,135",42%,"$35,100",http://www.wmcc.edu
New Hampshire Institute of Art,Manchester,NH,"$22,656",47%,"$25,200",http://www.nhia.edu
Stevens Institute of Technology,Hoboken,NJ,"$35,309",82%,"$89,200",http://www.stevens.edu
Princeton University,Princeton,NJ,"$10,256",97%,"$74,700",http://www.princeton.edu
New Jersey Institute of Technology,Newark,NJ,"$18,544",61%,"$68,500",http://www.njit.edu/
The College of New Jersey,Ewing,NJ,"$26,581",86%,"$58,500",http://www.tcnj.edu
Rutgers University-Camden,Camden,NJ,"$15,705",58%,"$57,900",http://www.camden.rutgers.edu/
Rutgers University-New Brunswick,New Brunswick,NJ,"$20,166",80%,"$57,900",http://newbrunswick.rutgers.edu/
Rutgers University-Newark,Newark,NJ,"$12,360",67%,"$57,900",http://www.newark.rutgers.edu/
Seton Hall University,South Orange,NJ,"$27,213",63%,"$57,200",http://www.shu.edu/
Ramapo College of New Jersey,Mahwah,NJ,"$21,022",73%,"$53,200",http://www.ramapo.edu
Drew University,Madison,NJ,"$22,400",64%,"$52,700",http://www.drew.edu
Rider University,Lawrenceville,NJ,"$27,514",65%,"$50,600",http://www.rider.edu
Monmouth University,West Long Branch,NJ,"$29,086",69%,"$50,500",http://www.monmouth.edu
Rowan University,Glassboro,NJ,"$22,224",69%,"$50,000",http://www.rowan.edu
Montclair State University,Montclair,NJ,"$21,727",65%,"$49,600",http://www.montclair.edu
Fairleigh Dickinson University-Florham Campus,Madison,NJ,"$24,253",53%,"$48,100",http://www.fdu.edu
Fairleigh Dickinson University-Metropolitan Campus,Teaneck,NJ,"$17,752",43%,"$48,100",http://www.fdu.edu
Stockton University,Galloway,NJ,"$19,233",72%,"$47,500",http://www.stockton.edu
Felician University,Lodi,NJ,"$16,861",41%,"$47,300",http://www.felician.edu
University of Phoenix-New Jersey,Jersey City,NJ,"$18,943",11%,"$47,100",http://www.phoenix.edu
William Paterson University of New Jersey,Wayne,NJ,"$17,138",50%,"$46,600",http://www.wpunj.edu
New Mexico Institute of Mining and Technology,Socorro,NM,"$12,880",49%,"$50,000",http://www.nmt.edu
University of Phoenix-New Mexico,Albuquerque,NM,"$18,535",20%,"$47,100",http://www.phoenix.edu
New Mexico Military Institute,Roswell,NM,"$2,563",33%,"$39,700",http://www.nmmi.edu
University of New Mexico-Taos Campus,Ranchos de Taos,NM,"$8,430",10%,"$36,400",http://taos.unm.edu/index.html
University of New Mexico-Main Campus,Albuquerque,NM,"$12,827",46%,"$36,400",http://www.unm.edu
University of New Mexico-Gallup Campus,Gallup,NM,"$7,834",8%,"$36,400",http://www.gallup.unm.edu
University of New Mexico-Valencia County Campus,Los Lunas,NM,"$6,941",9%,"$36,400",http://valencia.unm.edu/
University of New Mexico-Los Alamos Campus,Los Alamos,NM,"$8,053",8%,"$36,400",http://losalamos.unm.edu
New Mexico Highlands University,Las Vegas,NM,"$7,853",20%,"$36,300",http://www.nmhu.edu
University of the Southwest,Hobbs,NM,"$19,725",11%,"$36,200",http://www.usw.edu
New Mexico State University-Grants,Grants,NM,"$6,088",14%,"$34,600",http://grants.nmsu.edu/
New Mexico State University-Alamogordo,Alamogordo,NM,"$6,806",9%,"$34,600",http://nmsua.edu
New Mexico State University-Main Campus,Las Cruces,NM,"$9,571",44%,"$34,600",http://www.nmsu.edu/
New Mexico State University-Carlsbad,Carlsbad,NM,"$4,971",11%,"$34,600",http://carlsbad.nmsu.edu
New Mexico State University-Dona Ana,Las Cruces,NM,"$5,397",12%,"$34,600",http://dacc.nmsu.edu/
St. John's College,Santa Fe,NM,"$24,056",47%,"$33,500",http://www.sjc.edu
Santa Fe Community College,Santa Fe,NM,"$9,415",17%,"$31,400",https://www.sfcc.edu
Western New Mexico University,Silver City,NM,"$10,942",20%,"$30,900",http://www.wnmu.edu
San Juan College,Farmington,NM,"$4,813",16%,"$30,700",http://www.sanjuancollege.edu
Southwest University of Visual Arts-Albuquerque,Albuquerque,NM,"$27,552",88%,"$30,200",http://www.suva.edu
Albany College of Pharmacy and Health Sciences,Albany,NY,"$29,502",70%,"$124,700",http://www.acphs.edu
United States Merchant Marine Academy,Kings Point,NY,"$6,866",73%,"$88,100",http://WWW.USMMA.EDU
St Paul's School of Nursing-Staten Island,Staten Island,NY,"$29,880",47%,"$84,400",http://www.stpaulsschoolofnursing.edu/
Columbia University in the City of New York,New York,NY,"$22,001",95%,"$83,300",http://www.columbia.edu
SUNY Maritime College,Throggs Neck,NY,"$18,248",56%,"$82,800",http://www.sunymaritime.edu
Rensselaer Polytechnic Institute,Troy,NY,"$33,629",82%,"$82,000",http://www.rpi.edu
St Paul's School of Nursing-Queens,Rego Park,NY,"$24,487",41%,"$81,300",https://www.stpaulsschoolofnursing.edu
Cornell University,Ithaca,NY,"$30,498",94%,"$77,200",http://www.cornell.edu
Clarkson University,Potsdam,NY,"$30,662",72%,"$72,000",http://www.clarkson.edu
Union College,Schenectady,NY,"$30,932",88%,"$65,400",http://www.union.edu/
Manhattan College,Riverdale,NY,"$31,167",72%,"$65,000",http://www.manhattan.edu
Cooper Union for the Advancement of Science and Art,New York,NY,"$16,548",84%,"$64,900",http://www.cooper.edu
Colgate University,Hamilton,NY,"$23,947",90%,"$63,600",http://www.colgate.edu
Rochester Institute of Technology,Rochester,NY,"$27,348",67%,"$62,400",http://www.rit.edu/
Syracuse University,Syracuse,NY,"$30,722",82%,"$62,100",https://www.syracuse.edu
New York University,New York,NY,"$37,362",84%,"$61,900",http://www.nyu.edu
Binghamton University,Vestal,NY,"$17,870",82%,"$61,600",http://www.binghamton.edu
University of Rochester,Rochester,NY,"$26,604",87%,"$61,200",http://www.rochester.edu
Molloy College,Rockville Centre,NY,"$28,126",74%,"$60,500",http://www.molloy.edu
St Joseph's College of Nursing at St Joseph's Hospital Health Center,Syracuse,NY,"$35,356",71%,"$60,300",http://www.sjhcon.edu
Duke University,Durham,NC,"$33,665",95%,"$84,400",http://WWW.DUKE.EDU
Wake Forest University,Winston-Salem,NC,"$28,082",88%,"$63,800",http://www.wfu.edu
Davidson College,Davidson,NC,"$23,926",94%,"$58,900",http://www.davidson.edu/
University of North Carolina at Chapel Hill,Chapel Hill,NC,"$13,210",91%,"$55,600",http://www.unc.edu
North Carolina State University at Raleigh,Raleigh,NC,"$14,682",76%,"$52,500",http://www.ncsu.edu
Elon University,Elon,NC,"$35,619",83%,"$51,900",http://www.elon.edu
Cabarrus College of Health Sciences,Concord,NC,"$13,616",47%,"$48,600",http://www.carolinashealthcare.org/cabarrus-college-of-health-sciences
University of Phoenix-North Carolina,Charlotte,NC,"$17,811",13%,"$47,100",http://www.phoenix.edu
Campbell University,Buies Creek,NC,"$25,649",55%,"$45,900",http://www.campbell.edu
DeVry University-North Carolina,Charlotte,NC,"$26,044",13%,"$44,100",https://www.devry.edu
